"MATERIAL","CHAR","CHARVALUE","ACTIVE"
"30ATCTO1WW","EPCOUNTRY","RUSSIA","X"
"30ATCTO1WW","EPCOUNTRY","SAUDI_ARABIA","X"
"30ATCTO1WW","EPCOUNTRY","SERBIA","X"
"30ATCTO1WW","EPCOUNTRY","SINGAPORE","X"
"30ATCTO1WW","EPCOUNTRY","SLOVAKIA","X"
"30ATCTO1WW","EPCOUNTRY","SLOVENIA","X"
"30ATCTO1WW","EPCOUNTRY","SOUTH_AFRICA","X"
"30ATCTO1WW","EPCOUNTRY","SOUTH_EAST_EUROPE","X"
"30ATCTO1WW","EPCOUNTRY","SPAIN","X"
"30ATCTO1WW","EPCOUNTRY","SRI_LANKA","X"
"30ATCTO1WW","EPCOUNTRY","SWEDEN","X"
"30ATCTO1WW","EPCOUNTRY","SWITZERLAND","X"
"30ATCTO1WW","EPCOUNTRY","TAIWAN","X"
"30ATCTO1WW","EPCOUNTRY","THAILAND","X"
"30ATCTO1WW","EPCOUNTRY","TURKEY","X"
"30ATCTO1WW","EPCOUNTRY","UAE","X"
"30ATCTO1WW","EPCOUNTRY","UK","X"
"30ATCTO1WW","EPCOUNTRY","UKRAINE","X"
"30ATCTO1WW","EPCOUNTRY","URUGUAY","X"
"30ATCTO1WW","EPCOUNTRY","USA","X"
"30ATCTO1WW","EPCOUNTRY","VENEZUELA","X"
"30ATCTO1WW","EPCOUNTRY","VIETNAM","X"
"30ATCTO1WW","EPCPU","INTEL CORE I3_6100 3.7GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I3_6300 3.8GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I3_6320 3.9GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I5_6400 2.7GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I5_6500 3.2GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I5_6600 3.3GHZ","X"
"30ATCTO1WW","EPCPU","INTEL CORE I7_6700 3.4GHZ","X"
"30ATCTO1WW","EPCPU","INTEL PENTIUM G4400 3.3GHZ","X"
