"CHAR","CHARVALUE","LANGUAGE","DESC"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI_DP_TO_DP","E","Mini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI_DP_TO_DVI_SL","E","Mini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI_DP_TO_HDMI","E","Mini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI_DP_TO_VGA","E","Mini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINIDP_TO_VGA_DONGLE","E","MiniDP to VGA Dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","NO GRAPHICS DONGLE SELECTED","E","No Graphics Dongle Selected"
"EP1ST_HDD_BOOT_DRIVE","NO","E","No"
"EP1ST_HDD_BOOT_DRIVE","YES","E","Yes"
"EP1ST_HDD_SELECTION","1024GB_SSD_2.5_SATA3_OPAL","E","1024GB SSD 2.5"" SATA3 OPAL"
"EP1ST_HDD_SELECTION","180GB_SSD_2.5_SATA3_OPAL","E","180GB SSD 2.5"" SATA3 OPAL"
"EP1ST_HDD_SELECTION","1TB HYBRID HDD SATA 3.5","E","3.5"" 1TB SATA Hybrid HDD"
"EP1ST_HDD_SELECTION","1TB_HD_7200RPM_3.5_SATA3","E","1TB HD 7200RPM 3.5"" SATA3"
"EP1ST_HDD_SELECTION","1TB+8GB_SSHD_7200RPM_3.5","E","1TB+8GB SSHD 7200RPM 3.5"""
"EP1ST_HDD_SELECTION","2.5_1024GB_SATA_SSD_NON_OPAL","E","2.5"" 1024GB SATA SSD Non-OPAL"
"EP1ST_HDD_SELECTION","2.5_128GB SATA SSD","E","2.5"" 128GB SATA SSD"
"EP1ST_HDD_SELECTION","2.5_180GB SATA SSD","E","2.5"" 180GB SATA SSD"
"EP1ST_HDD_SELECTION","2.5_180GB SATA SSD OPAL","E","2.5"" 180GB SATA SSD OPAL"
